                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.9177,                 4.0027,                 2.1758,                0.08599,                0.15246,                0.04787,                0.01488,                 2.3814,                 3.4232,                  2.818,               0.070341,              0.0032955,              0.0032955
                      1,                 1.4029,                 2.5665,                 1.7455,                0.28438,                0.35086,                 0.1854,                0.09657,                 2.0139,                 2.7957,                 2.3483,               0.040275,              0.0065632,              0.0065632
                      2,                  1.296,                 2.3406,                 1.6666,                0.12086,                0.16761,                0.09996,                0.04623,                 2.5425,                 3.2814,                 3.0522,               0.010144,              0.0097649,              0.0097649
                      3,                  1.305,                 2.1885,                 1.6475,                0.17507,                0.33807,                0.14971,                 0.0909,                 1.8203,                  2.934,                 2.2929,               0.009703,               0.009703,               0.009703
                      4,                  1.297,                 2.1041,                  1.637,                0.55852,                0.18561,                0.26713,                 0.1604,                 1.7443,                 2.5819,                 2.2753,               0.009703,               0.009703,               0.009703
                      5,                 1.2904,                 1.9684,                 1.6107,                0.42486,                0.21496,                 0.2703,                0.19044,                  1.609,                 2.5558,                 1.9185,               0.009604,               0.009604,               0.009604
                      6,                 1.2153,                 1.8589,                 1.5572,                0.36774,                0.30871,                0.27226,                0.18432,                 1.6143,                 2.8587,                 2.1556,               0.009505,               0.009505,               0.009505
                      7,                 1.2029,                 1.7689,                 1.5322,                0.30802,                0.19981,                 0.1958,                0.07876,                  2.202,                 2.7551,                 2.6321,               0.009406,               0.009406,               0.009406
                      8,                 1.1668,                 1.7246,                 1.5174,                0.55538,                0.28907,                 0.3871,                0.26084,                 1.5443,                 1.9528,                 2.0651,               0.009307,               0.009307,               0.009307
                      9,                  1.145,                 1.6286,                 1.4968,                0.56088,                0.45305,                0.55688,                0.36585,                 1.4295,                 1.4819,                 1.7893,               0.009208,               0.009208,               0.009208
                     10,                 1.1343,                 1.5198,                 1.4708,                0.52555,                0.55682,                0.58513,                0.35039,                 1.4887,                 1.5673,                 1.9574,               0.009109,               0.009109,               0.009109
                     11,                 1.0628,                 1.4466,                 1.4113,                0.59059,                0.70044,                0.65424,                0.41046,                 1.4064,                  1.571,                  1.815,                0.00901,                0.00901,                0.00901
